Username,Time,Message
0, 07/15/06 10:31:09 PM , k
1, 07/15/06 10:31:48 PM , what r u weearing
0, 07/15/06 10:32:08 PM , shorts n t
1, 07/15/06 10:32:40 PM , mmmmmmmm
1, 07/15/06 10:34:12 PM , u there
0, 07/15/06 10:34:18 PM , yep
1, 07/15/06 10:35:03 PM , ask me something
0, 07/15/06 10:35:29 PM , umm do u have family ?
1, 07/15/06 10:35:40 PM , yes i do
0, 07/15/06 10:35:57 PM , like kids ?
1, 07/15/06 10:36:28 PM , no
0, 07/15/06 10:37:40 PM , k
1, 07/15/06 10:37:42 PM , i have dated someone 16 before
0, 07/15/06 10:37:49 PM , oh
1, 07/15/06 10:38:09 PM , she was pretty
0, 07/15/06 10:38:35 PM , oh thats cool
1, 07/15/06 10:39:10 PM , i wanta be good to u
0, 07/15/06 10:39:30 PM , aww ur sweet
1, 07/15/06 10:40:16 PM , yea i wanta teach u alot
0, 07/15/06 10:40:38 PM , sounds kinda cool lol
1, 07/15/06 10:40:48 PM , it will be
1, 07/15/06 10:40:57 PM , we could watch some porn at my place
0, 07/15/06 10:41:19 PM , really ?
1, 07/15/06 10:41:37 PM , yes
1, 07/15/06 10:41:41 PM , would u like that
0, 07/15/06 10:41:57 PM , sounds interestin lol
1, 07/15/06 10:42:12 PM , i would wanta kiss u
0, 07/15/06 10:42:26 PM , k lol
1, 07/15/06 10:42:41 PM , do u have tits
0, 07/15/06 10:43:00 PM , sure lol
1, 07/15/06 10:43:08 PM , what size
0, 07/15/06 10:43:14 PM , 34b
1, 07/15/06 10:43:37 PM , mmmmmmm nice
0, 07/15/06 10:44:24 PM , ty
1, 07/15/06 10:44:41 PM , if i talk to u
1, 07/15/06 10:44:50 PM , will u promise not to tell ur folks
0, 07/15/06 10:45:13 PM , no way i could tell my grandparents
1, 07/15/06 10:45:19 PM , ok
1, 07/15/06 10:45:27 PM , cuz i could get in lots of truouble
0, 07/15/06 10:45:43 PM , i could too
1, 07/15/06 10:45:51 PM , but i could go to jail
0, 07/15/06 10:45:57 PM , oh
0, 07/15/06 10:46:09 PM , i dont want u in trbl
1, 07/15/06 10:46:24 PM , i know
1, 07/15/06 10:46:30 PM , so can i trust u
0, 07/15/06 10:46:38 PM , yea
1, 07/15/06 10:47:01 PM , thanks
1, 07/15/06 10:47:03 PM , i like u
0, 07/15/06 10:47:32 PM , i like u too
1, 07/15/06 10:47:42 PM , yes i could talk to u alot
0, 07/15/06 10:49:04 PM , u could ?
1, 07/15/06 10:49:11 PM , yes
1, 07/15/06 10:49:21 PM , do u have a big heart
0, 07/15/06 10:49:31 PM , i think so
1, 07/15/06 10:49:47 PM , could u care bout me
0, 07/15/06 10:50:03 PM , yea
1, 07/15/06 10:50:23 PM , then would u please me
0, 07/15/06 10:50:33 PM , how ?
1, 07/15/06 10:50:52 PM , suck my dick have sex with me
0, 07/15/06 10:51:12 PM , oh lol
0, 07/15/06 10:51:19 PM , if u want lol
1, 07/15/06 10:51:40 PM , yes i want
1, 07/15/06 10:51:45 PM , what would u want
0, 07/15/06 10:52:44 PM , idk lol i got alot to learn
1, 07/15/06 10:52:59 PM , i will teach u
0, 07/15/06 10:53:05 PM , can i call u ?
0, 07/15/06 10:54:02 PM , ty for the add
1, 07/15/06 10:54:07 PM , ok
1, 07/15/06 10:55:30 PM , ok sexy
1, 07/15/06 10:56:15 PM , well talk to me sexy
0, 07/15/06 10:56:19 PM , k lol
0, 07/15/06 10:56:28 PM , do u want me to call ?
1, 07/15/06 10:56:50 PM , i would much rather like to cll u
1, 07/15/06 10:56:53 PM , until
1, 07/15/06 10:56:58 PM , i know u better
1, 07/15/06 10:57:00 PM , u know
1, 07/15/06 10:57:05 PM , i can block my #
0, 07/15/06 10:57:54 PM , umm idk lol if u have my number ull know were i live
1, 07/15/06 10:58:07 PM , iwill never just come there
1, 07/15/06 10:58:09 PM , cuz
1, 07/15/06 10:58:20 PM , i will need u to meet mesome place
0, 07/15/06 10:59:00 PM , not really safe to give u my number i dont kno u yet
0, 07/15/06 10:59:37 PM , i promise i wont call again unless u want
1, 07/15/06 10:59:43 PM , well i wont just come there to see u
0, 07/15/06 10:59:45 PM , just wan na c if ur safe
1, 07/15/06 11:00:01 PM , i am
1, 07/15/06 11:00:03 PM , very safe
0, 07/15/06 11:00:30 PM , if u dont wan na talk to me its k
1, 07/15/06 11:00:39 PM , i wanta talk and everything
1, 07/15/06 11:00:42 PM , ur hot
0, 07/15/06 11:01:05 PM , up to u
0, 07/15/06 11:02:27 PM , u got pics ?
1, 07/15/06 11:02:38 PM , yea hoping i can trust u
0, 07/15/06 11:02:42 PM , u can
1, 07/15/06 11:03:04 PM , acpet
0, 07/15/06 11:03:11 PM , every time i clik on that it freezes me up
0, 07/15/06 11:03:19 PM , can u do the file send thingy
1, 07/15/06 11:03:52 PM , just accept
0, 07/15/06 11:04:29 PM , its gon na boot me lol it always does
1, 07/15/06 11:04:38 PM , whats ur email
0, 07/15/06 11:04:50 PM , 0@ yahoo.com
0, 07/15/06 11:06:44 PM , awww ty
0, 07/15/06 11:06:48 PM , u look nice
1, 07/15/06 11:07:15 PM , do u have any other pics
0, 07/15/06 11:07:19 PM , yea
1, 07/15/06 11:07:31 PM , ok let me see
0, 07/15/06 11:07:49 PM , k got ta look
1, 07/15/06 11:08:22 PM , ok
1, 07/15/06 11:10:24 PM , very pretty
0, 07/15/06 11:10:27 PM , ty
0, 07/15/06 11:10:38 PM , k ur more real that i saw u
0, 07/15/06 11:10:50 PM , if u dont wan na talk to me its k
1, 07/15/06 11:11:05 PM , do u wanta talk to me
0, 07/15/06 11:11:11 PM , yea
1, 07/15/06 11:11:48 PM , i want u
0, 07/15/06 11:11:56 PM , aww
0, 07/15/06 11:12:23 PM , do u want me to call ?
1, 07/15/06 11:12:41 PM , do u think we will meet
0, 07/15/06 11:13:23 PM , if ur nice maybe lol
1, 07/15/06 11:14:09 PM , so u r saying no
0, 07/15/06 11:14:21 PM , im sayin u seem nice so far lol
1, 07/15/06 11:14:38 PM , if u r too afrid to
0, 07/15/06 11:14:47 PM , im not afraid
1, 07/15/06 11:14:51 PM , just say i will never meet u
0, 07/15/06 11:14:58 PM , didnt say that lol
1, 07/15/06 11:15:30 PM , i think u wont
0, 07/15/06 11:15:38 PM , y ?
1, 07/15/06 11:16:01 PM , where would u go to meet me
0, 07/15/06 11:16:18 PM , idk where do u want ?
0, 07/15/06 11:16:41 PM , i think my grandparents r goin away next week
0, 07/15/06 11:16:57 PM , said gon na visit my grampas bro
1, 07/15/06 11:17:05 PM , ok
1, 07/15/06 11:17:08 PM , for how long
0, 07/15/06 11:17:17 PM , few days
1, 07/15/06 11:17:38 PM , so would u want me to come then
0, 07/15/06 11:18:14 PM , is that wat u want ?
1, 07/15/06 11:18:30 PM , yes
0, 07/15/06 11:19:33 PM , wat r u gon na wan na do ?
1, 07/15/06 11:19:56 PM , what would u want me to do
0, 07/15/06 11:20:03 PM , idk lol
0, 07/15/06 11:20:24 PM , i dont know alot u do
0, 07/15/06 11:20:46 PM , wat were u gon na teach me like u said ?
1, 07/15/06 11:21:02 PM , bout sex
0, 07/15/06 11:21:11 PM , k lol
1, 07/15/06 11:21:31 PM , do u have nice legs
0, 07/15/06 11:21:42 PM , been told so lol
1, 07/15/06 11:21:51 PM , how bout cute kissable feet
0, 07/15/06 11:22:29 PM , lol gues
1, 07/15/06 11:22:40 PM , do u keep them painted
0, 07/15/06 11:22:47 PM , yea lol
1, 07/15/06 11:22:57 PM , what color r they now
0, 07/15/06 11:23:07 PM , pink
1, 07/15/06 11:23:33 PM , sounds sexy
0, 07/15/06 11:24:46 PM , ty
1, 07/15/06 11:24:53 PM , love to kiss ur feet
0, 07/15/06 11:25:03 PM , k lol
1, 07/15/06 11:25:19 PM , ever had anyone to do that
0, 07/15/06 11:25:25 PM , no lol
1, 07/15/06 11:25:39 PM , u giggle alot huh
0, 07/15/06 11:25:49 PM , yea sry
1, 07/15/06 11:26:22 PM , do u have any friends there
0, 07/15/06 11:26:30 PM , not really
1, 07/15/06 11:26:40 PM , how long will u be there
0, 07/15/06 11:27:07 PM , i can go home when i want probly next month some time
1, 07/15/06 11:27:40 PM , what if i want u to stay
1, 07/15/06 11:27:43 PM , so i can see u
0, 07/15/06 11:28:01 PM , got ta go to school
1, 07/15/06 11:28:10 PM , where is that
0, 07/15/06 11:28:17 PM , pa
1, 07/15/06 11:28:50 PM , i dont wanta push u
1, 07/15/06 11:28:56 PM , tell me what u want
0, 07/15/06 11:29:13 PM , sounds cool lol
1, 07/15/06 11:29:32 PM , so telll me
0, 07/15/06 11:29:42 PM , tell u wat ?
1, 07/15/06 11:29:58 PM , what ever u want from me
0, 07/15/06 11:30:14 PM , wat u said sounds kinda cool lol
1, 07/15/06 11:31:19 PM , what being fucked
0, 07/15/06 11:31:40 PM , lol
1, 07/15/06 11:31:51 PM , so is that cool to u
0, 07/15/06 11:32:00 PM , that wat u want
0, 07/15/06 11:32:02 PM , ?
1, 07/15/06 11:32:09 PM , yes
1, 07/15/06 11:32:51 PM , ok and
1, 07/15/06 11:33:34 PM , hello u stop talking
0, 07/15/06 11:33:40 PM , no lol
1, 07/15/06 11:33:47 PM , no what
0, 07/15/06 11:34:05 PM , didnt stop talking
1, 07/15/06 11:34:37 PM , so when do u think ur grand parents r leaving
0, 07/15/06 11:35:12 PM , i got ta ask
0, 07/15/06 11:35:27 PM , i think its like sat or something
1, 07/15/06 11:35:36 PM , and u r not going
0, 07/15/06 11:35:43 PM , na they askd lol
0, 07/15/06 11:36:04 PM , his bro lives in a little place n i end up sleepin on the floor
0, 07/15/06 11:36:09 PM , n its soooo boring
1, 07/15/06 11:36:28 PM , how do i know if i come
1, 07/15/06 11:36:37 PM , it wont be the cops waiting for me
0, 07/15/06 11:36:41 PM , lol
0, 07/15/06 11:36:55 PM , cuz i wouldnt tell lol
0, 07/15/06 11:37:01 PM , i dont wan na get in trbl
0, 07/15/06 11:37:15 PM , my grampa would kill me
1, 07/15/06 11:37:22 PM , how old is he
0, 07/15/06 11:38:01 PM , wow lol ummmm
0, 07/15/06 11:38:04 PM , old
0, 07/15/06 11:38:09 PM , hes retired
0, 07/15/06 11:38:42 PM , i think like 65 or somethin
1, 07/15/06 11:38:47 PM , ok
1, 07/15/06 11:39:01 PM , how long can i stay there
0, 07/15/06 11:39:16 PM , idk lol how long do u want ?
1, 07/15/06 11:39:34 PM , the night
1, 07/15/06 11:39:36 PM , with u
0, 07/15/06 11:39:59 PM , k lol
1, 07/15/06 11:40:11 PM , is that ok with u
0, 07/15/06 11:40:33 PM , guess it sounds cool lol
0, 07/15/06 11:40:46 PM , u want me to call u ?
1, 07/15/06 11:41:02 PM , yes but i need to call u frist
0, 07/15/06 11:41:13 PM , mm nvm lol
1, 07/15/06 11:41:41 PM , i need to be able to trust u
0, 07/15/06 11:41:49 PM , 
0, 07/15/06 11:41:57 PM , u can
1, 07/15/06 11:42:09 PM , let me call u i will trust u
0, 07/15/06 11:42:39 PM , i wish but i cant
1, 07/15/06 11:42:55 PM , just call for like 2 mins
1, 07/15/06 11:42:59 PM , then u call me
0, 07/15/06 11:43:14 PM , k ill call u quik
1, 07/15/06 11:43:25 PM , no i call u frist
0, 07/15/06 11:43:31 PM , geez lol
0, 07/15/06 11:43:47 PM , its k mayb later we can
1, 07/15/06 11:44:06 PM , lets do it
1, 07/15/06 11:44:09 PM , if we r
1, 07/15/06 11:44:14 PM , what time do they go to bed
0, 07/15/06 11:44:23 PM , do wat ?
1, 07/15/06 11:44:38 PM , ur grand parents go to sleep
0, 07/15/06 11:44:46 PM , ther asleep now
1, 07/15/06 11:44:57 PM , they wont know i called u
1, 07/15/06 11:45:06 PM , i will block the #
0, 07/15/06 11:45:07 PM , thers a phone by grampas head lol
1, 07/15/06 11:45:31 PM , tell me where u r from what town
0, 07/15/06 11:45:52 PM , k
0, 07/15/06 11:46:00 PM , im in fortson
1, 07/15/06 11:46:14 PM , how far r u from albany
0, 07/15/06 11:46:36 PM , umm i think like 2 hrs or less mayb
1, 07/15/06 11:46:59 PM , ok
1, 07/15/06 11:47:11 PM , do u like me
0, 07/15/06 11:47:22 PM , yea u seem cool
1, 07/15/06 11:47:46 PM , u think u wanta lose ur virginty to me
0, 07/15/06 11:48:00 PM , ur kinda interestin
1, 07/15/06 11:48:22 PM , u know i will fuck u hard
0, 07/15/06 11:48:32 PM , k
1, 07/15/06 11:48:45 PM , how well do u take pain
0, 07/15/06 11:48:53 PM , is it gon na hurt ?
1, 07/15/06 11:49:02 PM , yes
1, 07/15/06 11:49:13 PM , mustgirls bleed some
0, 07/15/06 11:49:24 PM , do they ?
1, 07/15/06 11:49:35 PM , yes
0, 07/15/06 11:49:41 PM , i think i heard that too
1, 07/15/06 11:50:20 PM , yes it is true
0, 07/15/06 11:50:38 PM , k
1, 07/15/06 11:50:59 PM , when i can call u
1, 07/15/06 11:51:03 PM , i will trust u
0, 07/15/06 11:51:37 PM , i got ta trust u if u wan na do that
1, 07/15/06 11:51:59 PM , well u can
1, 07/15/06 11:52:06 PM , i have too much to lose
0, 07/15/06 11:52:15 PM , me too lol
1, 07/15/06 11:52:26 PM , nothing will happen to u
1, 07/15/06 11:52:34 PM , just lie say u thought i was 15
0, 07/15/06 11:52:36 PM , i could get dead
1, 07/15/06 11:52:41 PM , u didnt know
1, 07/15/06 11:52:54 PM , well i just wanta know ur not the cops
0, 07/15/06 11:53:14 PM , ull kno when i call
1, 07/15/06 11:53:22 PM , no i wont
1, 07/15/06 11:53:31 PM , cuz u could be getting where i am
1, 07/15/06 11:53:35 PM , to come pick me up
0, 07/15/06 11:53:54 PM , lol i cant drive
1, 07/15/06 11:54:04 PM , the polise
1, 07/15/06 11:54:07 PM , police
1, 07/15/06 11:54:13 PM , dont worry obut it
1, 07/15/06 11:54:21 PM , sorry i waisted ur time
0, 07/15/06 11:54:29 PM , u didnt
0, 07/15/06 11:54:32 PM , ur nice
0, 07/15/06 11:54:44 PM , its ok
1, 07/15/06 11:55:09 PM , ok
0, 07/15/06 11:55:09 PM , i get it
1, 07/15/06 11:55:26 PM , u get what
0, 07/15/06 11:55:31 PM , ur scared
1, 07/15/06 11:55:51 PM , not to be with u
1, 07/15/06 11:55:55 PM , just wanta make sure
1, 07/15/06 11:56:05 PM , u r ok and not trying to set me up
0, 07/15/06 11:56:12 PM , im not
0, 07/15/06 11:56:20 PM , im the one should b scared
0, 07/15/06 11:56:33 PM , im kinda nervous but u seem cool
0, 07/15/06 11:56:38 PM , n im so bored
0, 07/15/06 11:57:14 PM , im stuk here at grampas n hes cool n grandmas cool but u kno
0, 07/15/06 11:57:33 PM , but its really ok
1, 07/15/06 11:57:57 PM , what is
0, 07/15/06 11:58:08 PM , that u didnt mean it
1, 07/15/06 11:58:16 PM , yes i did
1, 07/15/06 11:58:22 PM , every word of it
0, 07/15/06 11:58:35 PM , k
1, 07/15/06 11:58:50 PM , i think ur hot
1, 07/15/06 11:58:52 PM , i want u
0, 07/15/06 11:59:12 PM , k lol
1, 07/15/06 11:59:28 PM , do u have cam
0, 07/15/06 11:59:35 PM , no sry
1, 07/15/06 11:59:44 PM , and u dont have another pic
0, 07/15/06 11:59:56 PM , yea i think i got 1
,,
07/16/06,,
1, 07/16/06 12:00:06 AM , let me see it
1, 07/16/06 12:01:35 AM , thats the best pic u have
1, 07/16/06 12:01:37 AM , so why me
0, 07/16/06 12:01:54 AM , idk lol u seem cool
1, 07/16/06 12:02:13 AM , so n one my age white hits on u
1, 07/16/06 12:02:16 AM , on here
0, 07/16/06 12:02:24 AM , some do lol
1, 07/16/06 12:02:43 AM , how many of them u wanta meet
0, 07/16/06 12:03:04 AM , none really wanted to do that lately
0, 07/16/06 12:03:18 AM , some askd bfore n i didnt like em
1, 07/16/06 12:03:32 AM , ok what if i let u call me later
1, 07/16/06 12:03:38 AM , like tomorrow
0, 07/16/06 12:03:41 AM , k
1, 07/16/06 12:03:49 AM , will u be mad bout that
0, 07/16/06 12:03:55 AM , no lol
0, 07/16/06 12:04:14 AM , i dont care if we talk really i trust u since u sent me ur pic
1, 07/16/06 12:05:21 AM , well i dont wanta lie to u
1, 07/16/06 12:05:27 AM , but i will back off
0, 07/16/06 12:05:44 AM , if u want
1, 07/16/06 12:05:51 AM , i dont want to
1, 07/16/06 12:05:56 AM , just being smart
1, 07/16/06 12:06:01 AM , dont wanta scare u off
0, 07/16/06 12:06:10 AM , im not scared
0, 07/16/06 12:06:16 AM , i live in pa lol
0, 07/16/06 12:06:23 AM , lots tougher guys than u
0, 07/16/06 12:06:29 AM , ur a sweety
1, 07/16/06 12:06:59 AM , would u have a problem being naked in front of me
0, 07/16/06 12:07:36 AM , guess ill try if u want lol
1, 07/16/06 12:08:02 AM , i do
1, 07/16/06 12:08:14 AM , i wanta come see u next week
0, 07/16/06 12:08:46 AM , k
1, 07/16/06 12:09:14 AM , u like talking bout sex dont u
0, 07/16/06 12:09:54 AM , idk dont know alot about it
1, 07/16/06 12:10:17 AM , what if i let u called a friend of mine
